gene,group,Bin,Bucket,Lump,Quality
FOSL2,TRGV4 gdT,T Cell,T Cell,Lymphoid,
CRIP1,TRGV4 gdT,T Cell,T Cell,Lymphoid,
PTTG1,TRGV4 gdT,T Cell,T Cell,Lymphoid,
SERPINB9,TRGV4 gdT,T Cell,T Cell,Lymphoid,
PHLDA1,TRGV4 gdT,T Cell,T Cell,Lymphoid,
GTF2B,TRGV4 gdT,T Cell,T Cell,Lymphoid,
CALR,TRGV4 gdT,T Cell,T Cell,Lymphoid,
KDM6B,TRGV4 gdT,T Cell,T Cell,Lymphoid,
TRAV29DV5,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
TRGV5,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
TRGV7,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
KIR3DL2,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
HSPA1A,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
TRG-AS1,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
XCL1,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
GABARAPL1,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
C9orf78,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
THEMIS,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
STOM,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
CDKN2C,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
CYTIP,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
DOK2,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
DNAJB4,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
TRAV36DV7,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
IGFBP3,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
HSPH1,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
FKBP4,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
NUCB1,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
AC015912.3,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
USP20,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
RHOB,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
STIP1,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
NDRG3,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
HMGB2,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
SLC3A2,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
HSD17B11,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
BCAS4,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
CTSA,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
AKAP5,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
ADAM8,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
RPS26,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
PLP2,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
NLRP6,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
FGFR1OP2,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
GPR15,TRGV5/7 gdT,T Cell,T Cell,Lymphoid,
AC004585.1,Tfh,T Cell,T Cell,Lymphoid,
ST8SIA1,Tfh,T Cell,T Cell,Lymphoid,
DRAIC,Tfh,T Cell,T Cell,Lymphoid,
AC012645.3,Tfh,T Cell,T Cell,Lymphoid,
ICA1,Tfh,T Cell,T Cell,Lymphoid,
CYTOR,Th1,T Cell,T Cell,Lymphoid,
CD2,Th1,T Cell,T Cell,Lymphoid,
CHN1,Th1,T Cell,T Cell,Lymphoid,
FABP5,Th1,T Cell,T Cell,Lymphoid,
MIR4435-2HG,Th1,T Cell,T Cell,Lymphoid,
C15orf53,Th1,T Cell,T Cell,Lymphoid,
IL26,Th1,T Cell,T Cell,Lymphoid,
HLA-DRA,Th1,T Cell,T Cell,Lymphoid,
ADAM19,Th1,T Cell,T Cell,Lymphoid,
TRPS1,Th1,T Cell,T Cell,Lymphoid,
PSMA2,Th1,T Cell,T Cell,Lymphoid,
NDUFA11,Th1,T Cell,T Cell,Lymphoid,
BLOC1S1,Th1,T Cell,T Cell,Lymphoid,
ZNRF1,Th1,T Cell,T Cell,Lymphoid,
IL12RB1,Th1,T Cell,T Cell,Lymphoid,
ARPC4,Th1,T Cell,T Cell,Lymphoid,
PCSK7,Th1,T Cell,T Cell,Lymphoid,
SMCO4,Th1,T Cell,T Cell,Lymphoid,
MPRIP,Th1,T Cell,T Cell,Lymphoid,
FAM89B,Th1,T Cell,T Cell,Lymphoid,
CHMP4A,Th1,T Cell,T Cell,Lymphoid,
VAMP2,Th1,T Cell,T Cell,Lymphoid,
IFI44L,Th17,T Cell,T Cell,Lymphoid,
AC020571.1,Th17,T Cell,T Cell,Lymphoid,
AC058791.1,Th17,T Cell,T Cell,Lymphoid,
IFI44,Th17,T Cell,T Cell,Lymphoid,
C1orf56,Th17,T Cell,T Cell,Lymphoid,
AC245297.3,Th17,T Cell,T Cell,Lymphoid,
AC016831.5,Th17,T Cell,T Cell,Lymphoid,
LINC00513,Th17,T Cell,T Cell,Lymphoid,
FOXP3,Treg,T Cell,T Cell,Lymphoid,
CTLA4,Treg,T Cell,T Cell,Lymphoid,
IL2RA,Treg,T Cell,T Cell,Lymphoid,
BATF,Treg,T Cell,T Cell,Lymphoid,
SESN3,Treg,T Cell,T Cell,Lymphoid,
AC133644.2,Treg,T Cell,T Cell,Lymphoid,
GK,Treg,T Cell,T Cell,Lymphoid,
TBC1D4,Treg,T Cell,T Cell,Lymphoid,
FBLN7,Treg,T Cell,T Cell,Lymphoid,
LINC01943,Treg,T Cell,T Cell,Lymphoid,
LINC01281,Treg,T Cell,T Cell,Lymphoid,
TRGC2,gdT,T Cell,T Cell,Lymphoid,
NET1,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
PLN,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
RERGL,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
LBH,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
PDLIM5,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
MTHFD2,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
SORBS2,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
ZFHX3,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
KCNA5,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
CRIP2,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
SERPINI1,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
ADIRF,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
KCNAB1,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
NRIP2,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
MCAM,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
MGST3,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
RCAN2,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
NTRK3,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
TBC1D1,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
UBA2,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
PTP4A3,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
MOB2,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
DBNDD2,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
FAM129A,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
MAPRE2,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
GPRC5C,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
MAP3K7CL,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
HES4,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
CASQ2,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
ENTPD3,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
SNCG,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
RRAD,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
TMEM38B,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
OR51E1,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
NRGN,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
SUSD5,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
EFHD1,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
LGALSL,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
MYOZ1,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
CABP1,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
OR51E2,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
NOL3,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
DGKG,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
NTRK2,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
ARHGEF7,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
IL17B,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
CSPG4,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
SORT1,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
NPY1R,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
HEYL,Contractile pericyte (PLN+),Pericyte,Pericyte,Stromal,
CR2,FDC,FDC,Fibroblast,Stromal,
SRGN,FDC,FDC,Fibroblast,Stromal,
CSTA,FDC,FDC,Fibroblast,Stromal,
FDCSP,FDC,FDC,Fibroblast,Stromal,
CLU,FDC,FDC,Fibroblast,Stromal,
CR1,FDC,FDC,Fibroblast,Stromal,
BCL2A1,FDC,FDC,Fibroblast,Stromal,
SPIB,FDC,FDC,Fibroblast,Stromal,
S100A1,FDC,FDC,Fibroblast,Stromal,
FCAMR,FDC,FDC,Fibroblast,Stromal,
EPHX2,FDC,FDC,Fibroblast,Stromal,
SERPINA5,FDC,FDC,Fibroblast,Stromal,
CSF2RB,FDC,FDC,Fibroblast,Stromal,
SERPINE2,FDC,FDC,Fibroblast,Stromal,
MAP1LC3A,FDC,FDC,Fibroblast,Stromal,
TMEM163,FDC,FDC,Fibroblast,Stromal,
LTF,FDC,FDC,Fibroblast,Stromal,
ITGAM,FDC,FDC,Fibroblast,Stromal,
INPP4A,FDC,FDC,Fibroblast,Stromal,
RGS9,FDC,FDC,Fibroblast,Stromal,
PLEK,FDC,FDC,Fibroblast,Stromal,
NPB,FDC,FDC,Fibroblast,Stromal,
CD37,FDC,FDC,Fibroblast,Stromal,
MS4A1,FDC,FDC,Fibroblast,Stromal,
SLCO2B1,FDC,FDC,Fibroblast,Stromal,
ERICH1,FDC,FDC,Fibroblast,Stromal,
MATN2,FDC,FDC,Fibroblast,Stromal,
SLC1A2,FDC,FDC,Fibroblast,Stromal,
IL4I1,FDC,FDC,Fibroblast,Stromal,
FCER2,FDC,FDC,Fibroblast,Stromal,
CDC42EP4,FDC,FDC,Fibroblast,Stromal,
VPREB3,FDC,FDC,Fibroblast,Stromal,
BMP2K,FDC,FDC,Fibroblast,Stromal,
LTB,FDC,FDC,Fibroblast,Stromal,
CLDN16,FDC,FDC,Fibroblast,Stromal,
IRS2,FDC,FDC,Fibroblast,Stromal,
TMEM150C,FDC,FDC,Fibroblast,Stromal,
CD79A,FDC,FDC,Fibroblast,Stromal,
ANO9,FDC,FDC,Fibroblast,Stromal,
IGHM,FDC,FDC,Fibroblast,Stromal,
LAMB3,FDC,FDC,Fibroblast,Stromal,
CD52,FDC,FDC,Fibroblast,Stromal,
EXOC3L4,FDC,FDC,Fibroblast,Stromal,
DAPP1,FDC,FDC,Fibroblast,Stromal,
NPPC,FDC,FDC,Fibroblast,Stromal,
CORO1A,FDC,FDC,Fibroblast,Stromal,
RGS13,FDC,FDC,Fibroblast,Stromal,
CD14,FDC,FDC,Fibroblast,Stromal,
TF,FDC,FDC,Fibroblast,Stromal,
TNFRSF9,FDC,FDC,Fibroblast,Stromal,
ETV1,ICC,ICC,Stromal,Stromal,
CTSL,ICC,ICC,Stromal,Stromal,
FHL2,ICC,ICC,Stromal,Stromal,
KIT,ICC,ICC,Stromal,Stromal,
EDN3,ICC,ICC,Stromal,Stromal,
KCTD12,ICC,ICC,Stromal,Stromal,
SNCA,ICC,ICC,Stromal,Stromal,
OSR1,ICC,ICC,Stromal,Stromal,
LY6H,ICC,ICC,Stromal,Stromal,
MPPED2,ICC,ICC,Stromal,Stromal,
CDH8,ICC,ICC,Stromal,Stromal,
FXYD7,ICC,ICC,Stromal,Stromal,
GPR20,ICC,ICC,Stromal,Stromal,
NPR3,ICC,ICC,Stromal,Stromal,
VWC2,ICC,ICC,Stromal,Stromal,
HAND1,ICC,ICC,Stromal,Stromal,
SOBP,ICC,ICC,Stromal,Stromal,
UCP2,ICC,ICC,Stromal,Stromal,
SPRY1,ICC,ICC,Stromal,Stromal,
PRKAR2B,ICC,ICC,Stromal,Stromal,
NNAT,ICC,ICC,Stromal,Stromal,
PLAT,ICC,ICC,Stromal,Stromal,
MGAT4A,ICC,ICC,Stromal,Stromal,
STK17A,ICC,ICC,Stromal,Stromal,
PRKCQ,ICC,ICC,Stromal,Stromal,
DLK1,ICC,ICC,Stromal,Stromal,
PALD1,ICC,ICC,Stromal,Stromal,
ANO1,ICC,ICC,Stromal,Stromal,
LINC01606,ICC,ICC,Stromal,Stromal,
NKX3-2,ICC,ICC,Stromal,Stromal,
CDH10,ICC,ICC,Stromal,Stromal,
PCDH17,ICC,ICC,Stromal,Stromal,
EPHA4,ICC,ICC,Stromal,Stromal,
GFOD1,ICC,ICC,Stromal,Stromal,
BCAN,ICC,ICC,Stromal,Stromal,
PLAGL1,ICC,ICC,Stromal,Stromal,
RAMP1,ICC,ICC,Stromal,Stromal,
DOK6,ICC,ICC,Stromal,Stromal,
SPRY4-AS1,ICC,ICC,Stromal,Stromal,
AP003555.3,ICC,ICC,Stromal,Stromal,
SCX,ICC,ICC,Stromal,Stromal,
IL12A,ICC,ICC,Stromal,Stromal,
FAM19A4,ICC,ICC,Stromal,Stromal,
ALDH2,ICC,ICC,Stromal,Stromal,
GALNT7,ICC,ICC,Stromal,Stromal,
SLC35G1,ICC,ICC,Stromal,Stromal,
HIC1,ICC,ICC,Stromal,Stromal,
AMPD3,ICC,ICC,Stromal,Stromal,
GFRA1,ICC,ICC,Stromal,Stromal,
TMEM204,ICC,ICC,Stromal,Stromal,
CCDC3,Immature pericyte,Pericyte,Pericyte,Stromal,
SH3KBP1,Immature pericyte,Pericyte,Pericyte,Stromal,
PDGFRB,Immature pericyte,Pericyte,Pericyte,Stromal,
HPSE2,Immature pericyte,Pericyte,Pericyte,Stromal,
CRMP1,Immature pericyte,Pericyte,Pericyte,Stromal,
KCNS3,Immature pericyte,Pericyte,Pericyte,Stromal,
CRABP2,Mesoderm 1 (HAND1+),Mesoderm,Mesoderm,Stromal,
HMGA2,Mesoderm 1 (HAND1+),Mesoderm,Mesoderm,Stromal,
AIF1,Mesoderm 1 (HAND1+),Mesoderm,Mesoderm,Stromal,
LIX1,Mesoderm 1 (HAND1+),Mesoderm,Mesoderm,Stromal,
IGDCC3,Mesoderm 1 (HAND1+),Mesoderm,Mesoderm,Stromal,
KIF26B,Mesoderm 1 (HAND1+),Mesoderm,Mesoderm,Stromal,
NKAIN4,Mesoderm 2 (ZEB2+),Mesoderm,Mesoderm,Stromal,
TNNT1,Mesothelium,Mesothelium,Mesothelium,Stromal,
RASSF7,Mesothelium,Mesothelium,Mesothelium,Stromal,
KLK11,Mesothelium,Mesothelium,Mesothelium,Stromal,
CLIC3,Mesothelium,Mesothelium,Mesothelium,Stromal,
ANXA3,Mesothelium,Mesothelium,Mesothelium,Stromal,
CD151,Mesothelium,Mesothelium,Mesothelium,Stromal,
LGALS2,Mesothelium,Mesothelium,Mesothelium,Stromal,
C2orf40,Mesothelium,Mesothelium,Mesothelium,Stromal,
PCP4,Mesothelium,Mesothelium,Mesothelium,Stromal,
PLP2,Mesothelium,Mesothelium,Mesothelium,Stromal,
COL9A3,Mesothelium,Mesothelium,Mesothelium,Stromal,
RBP7,Mesothelium,Mesothelium,Mesothelium,Stromal,
CAVIN2,Mesothelium,Mesothelium,Mesothelium,Stromal,
TMEM141,Mesothelium,Mesothelium,Mesothelium,Stromal,
RPRM,Mesothelium,Mesothelium,Mesothelium,Stromal,
WT1,Mesothelium,Mesothelium,Mesothelium,Stromal,
KRT19,Mesothelium,Mesothelium,Mesothelium,Stromal,
FGF1,Mesothelium,Mesothelium,Mesothelium,Stromal,
ANXA2,Mesothelium,Mesothelium,Mesothelium,Stromal,
TSTD1,Mesothelium,Mesothelium,Mesothelium,Stromal,
ALDH1A2,Mesothelium,Mesothelium,Mesothelium,Stromal,
SLC9A3R1,Mesothelium,Mesothelium,Mesothelium,Stromal,
NPW,Mesothelium,Mesothelium,Mesothelium,Stromal,
SEMA3B,Mesothelium,Mesothelium,Mesothelium,Stromal,
LRRN4,Mesothelium,Mesothelium,Mesothelium,Stromal,
SMTNL2,Mesothelium,Mesothelium,Mesothelium,Stromal,
LY6E,Mesothelium,Mesothelium,Mesothelium,Stromal,
NPDC1,Mesothelium,Mesothelium,Mesothelium,Stromal,
CLDN15,Mesothelium,Mesothelium,Mesothelium,Stromal,
VSIR,Mesothelium,Mesothelium,Mesothelium,Stromal,
OBSL1,Mesothelium,Mesothelium,Mesothelium,Stromal,
HCFC1R1,Mesothelium,Mesothelium,Mesothelium,Stromal,
SLC7A7,Mesothelium,Mesothelium,Mesothelium,Stromal,
TSPAN7,Mesothelium,Mesothelium,Mesothelium,Stromal,
WNT10A,Mesothelium,Mesothelium,Mesothelium,Stromal,
CD200,Mesothelium,Mesothelium,Mesothelium,Stromal,
ITGA3,Mesothelium,Mesothelium,Mesothelium,Stromal,
DISP1,Mesothelium,Mesothelium,Mesothelium,Stromal,
MYL12B,Mesothelium,Mesothelium,Mesothelium,Stromal,
TGM1,Mesothelium,Mesothelium,Mesothelium,Stromal,
KLK5,Mesothelium,Mesothelium,Mesothelium,Stromal,
CST6,Mesothelium,Mesothelium,Mesothelium,Stromal,
EPS8L1,Mesothelium,Mesothelium,Mesothelium,Stromal,
COL11A1,Mesothelium,Mesothelium,Mesothelium,Stromal,
CTXN1,Mesothelium,Mesothelium,Mesothelium,Stromal,
KLK10,Mesothelium,Mesothelium,Mesothelium,Stromal,
SEMA3D,Mesothelium,Mesothelium,Mesothelium,Stromal,
POSTN,Mesothelium,Mesothelium,Mesothelium,Stromal,
NAXE,Mesothelium,Mesothelium,Mesothelium,Stromal,
HIST2H2AA4,Mesothelium,Mesothelium,Mesothelium,Stromal,
MT1F,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
ITLN1,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
C4BPA,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
MT1E,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
HAS1,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
MT1G,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
ALDH1A3,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
TNFSF14,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
SLC39A8,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
CCDC71L,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
MFSD2A,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
SGK1,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
SERPINB1,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
SLPI,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
NAMPT,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
PKHD1L1,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
PRG4,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
TIMP1,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
CFB,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
BICDL1,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
AREG,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
SLC7A8,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
UGP2,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
EPHB6,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
CLDN1,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
C3,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
NFKB1,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
DUSP6,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
SLC20A1,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
NFKBIZ,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
FAM110C,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
MTRNR2L12,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
SDC4,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
PHLDB2,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
ARAP2,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
NABP1,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
GFPT2,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
MT1M,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
MT2A,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
KRT7,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
TM4SF1,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
EMB,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
UPK1B,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
CALB2,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
ADAMTS3,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
COBLL1,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
WFDC2,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
SAT1,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
PLA2G2A,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
PNRC1,Mesothelium (PRG4+),Mesothelium,Mesothelium,Stromal,
EEF1G,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
TMEM235,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
SERPINE3,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
HMGA1,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
RPL17,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
ODC1,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
TMEM98,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
PODXL,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
PTOV1,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
TMEM88,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
FAM221A,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
LDOC1,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
RAB38,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
NIPSNAP1,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
MRPS24,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
LAPTM4B,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
APLP1,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
AC092329.1,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
PRCD,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
HNRNPL,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
RPS10,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
RNASEK,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
COL2A1,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
SCG5,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
CRABP1,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
PLEKHN1,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
OTUB1,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
MYRF,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
STRBP,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
CYTL1,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
LRRC4C,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
APEX1,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
EIF3M,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
CHD7,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
CDH3,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
FRMD4B,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
RBM4,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
PSMD6,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
RPL5,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
NMU,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
CDH2,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
NME2,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
NDST3,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
C11orf1,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
SARNP,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
MYCN,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
ARHGEF3,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
RAB33A,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
AL031058.1,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
WASF1,Mesothelium (RGS5+),Mesothelium,Mesothelium,Stromal,
CD36,Pericyte,Pericyte,Pericyte,Stromal,
RGS5,Pericyte,Pericyte,Pericyte,Stromal,
ARHGDIB,Pericyte,Pericyte,Pericyte,Stromal,
HIGD1B,Pericyte,Pericyte,Pericyte,Stromal,
IGFBP7,Pericyte,Pericyte,Pericyte,Stromal,
STEAP4,Pericyte,Pericyte,Pericyte,Stromal,
TPPP3,Pericyte,Pericyte,Pericyte,Stromal,
PRSS23,Pericyte,Pericyte,Pericyte,Stromal,
COX4I2,Pericyte,Pericyte,Pericyte,Stromal,
EPAS1,Pericyte,Pericyte,Pericyte,Stromal,
SNRK,Pericyte,Pericyte,Pericyte,Stromal,
GJC1,Pericyte,Pericyte,Pericyte,Stromal,
FAM13C,Pericyte,Pericyte,Pericyte,Stromal,
MYH9,Pericyte,Pericyte,Pericyte,Stromal,
STOM,Pericyte,Pericyte,Pericyte,Stromal,
LGI4,Pericyte,Pericyte,Pericyte,Stromal,
ADGRF5,Pericyte,Pericyte,Pericyte,Stromal,
PLXDC1,Pericyte,Pericyte,Pericyte,Stromal,
